"Progrès vers l’atteinte des objectifs de population et de répartition des populations d’espèces en péril, Canada, mai 2023",,,,,,,,,,
,,,,,,,,,,
Nom commun,Nom scientifique,Groupe d'espèces,Désignation de la Loi sur les espèces en péril,Version finale du document de rétablissement,COSEWIC Date de réévaluation,Date du rapport sur les progrès de la mise en œuvre du programme de rétablissement,Objectifs du document de rétablissement,Données sur les espèces,Logique,Progrès vers l’atteinte des objectifs de population et de répartition des populations d’espèces en péril
Renoncule à feuilles d'alisme,Ranunculus alismifolius,"Plante vasculaire, herbe",En voie de disparition,8/11/2006,4/1/2009,4/1/2009,Maintenir les 2 sites existants au niveau d'abondance actuel ou supérieur. Restaurer la renoncule à feuilles d'alisme dans les zones d'occurrence et zones d'occupation historiques approximatives et établir au minimum 5 nouvelles populations indépendantes et autosuffisantes.,"Seules 2 populations existent. Les dernières données, recueillies en 2007, indiquent qu'il y avait 306 plants en fleurs au Canada. Depuis 10 à 15 ans, la population canadienne annuelle a fluctué de 45 à 306 individus matures et reproducteurs, probablement en raison des variations annuelles de l'humidité du sol au printemps et au début de l'été et d'autres facteurs.","Les fluctuations de la taille de la population sont probablement liées aux conditions environnementales et aucune tendance claire n'est observée. Cependant, aucun nouveau site n'a été établi.",Preuves mitigées
Lampsile fasciolée,Lampsilis fasciola,Mollusc,Préoccupante,2/23/2007,4/1/2010,6/11/2013,"Rétablir les populations dégradées à des niveaux sains et autosuffisants. Réintroduire la lampsile fasciolée dans des zones où elle existait auparavant, dans la mesure du possible.","Des inventaires quantitatifs étendus et des activités de suivi à long terme ont été réalisés depuis 1999. De nombreuses populations montrent des signes d'amélioration. L'estimation des effectifs a augmenté, la zone d'occupation a augmenté de 2 à 3 fois et l'abondance relative a augmenté de 2 à 4 % jusqu'à 20 à 50 % dans certains bassins versants. Toutes les populations, sauf 1, montrent des signes de reproduction et de recrutement. Le COSEPAC a attribué à cette espèce la désignation d'espèce en voie de disparition en 1999. En 2010, son statut a été réévalué et l'on a attribué à cette espèce la désignation d'espèce préoccupante.",La taille des populations augmente et l'aire d'occupation est en expansion.,Montre des progrès
Lamproie de l'Ouest (Population du ruisseau Morrison),Lampetra richardsoni,"Poisson, eau douce",En voie de disparition,7/23/2007,4/1/2010,11/21/2022,"Objectif de rétablissement : assurer sa viabilité à long terme dans son aire de répartition naturelle. Il est probable que cette population restera toujours exposée à un certain risque en raison de son aire de répartition extrêmement limitée. Objectifs de rétablissement : 1) Résoudre les incertitudes taxonomiques liées à la lamproie du ruisseau Morrison en vue d'une protection et d'un rétablissement efficaces. 2) Maintenir une population autonome de lamproie du ruisseau Morrison dans le ruisseau Morrison. 3) Maintenir, et si possible améliorer, l'intégrité écologique de l'habitat de la lamproie du ruisseau Morrison. 4) Améliorer la compréhension scientifique de la lamproie du ruisseau Morrison grâce à des recherches supplémentaires sur son histoire naturelle, son habitat essentiel et les menaces qui pèsent sur sa persistance. 5) Favoriser la sensibilisation à la lamproie du ruisseau Morrison et à son statut de conservation, et encourager la participation locale active à la gestion et à la protection de l'habitat.","Bien que l'abondance et les tendances actuelles de la population soient inconnues, la lamproie du ruisseau Morrison a fait l'objet d'études périodiques et continue d'être rencontrée dans l'ensemble de son aire de répartition connue.",Les tendances des populations ne sont pas connues.,Données insuffisantes pour déterminer les tendances
Souris des moissons de la sous-espèce dychei,Reithrodontomys megalotis dychei,Mammifère,En voie de disparition,12/30/2015,11/1/2019,,Objectif de rétablissement : Maintenir ou obtenir des populations autosuffisantes dans tous les emplacements actuellement occupés en Alberta et en Saskatchewan.,Les données sur la population ne sont pas disponibles.,Les données sur la population ne sont pas disponibles.,Données insuffisantes pour déterminer les tendances
Souris des moissons de la sous-espèce megalotis,Reithrodontomys megalotis megalotis,Mammifère,En voie de disparition,12/30/2015,11/1/2019,,"But de la gestion : maintenir des populations stables ou croissantes de souris des moissons dans l’ensemble de l’aire de répartition connue de l’espèce en Colombie-Britannique. Objectifs de gestion: 1. Établir des cibles quantitatives en matière de population, d’habitat et de répartition pour maintenir des populations viables. 2. Assurer la protection des espèces prioritaires et de leur habitat. 3. Évaluer et atténuer les menaces actuelles pesant sur les populations prioritaires en Colombie-Britannique. 4. Combler les lacunes dans les connaissances relatives aux éléments clés de l’écologie de la souris des moissons et aux menaces pesant sur l’espèce.",Les données sur la population ne sont pas disponibles.,Les données sur la population ne sont pas disponibles.,Données insuffisantes pour déterminer les tendances
Platanthère blanchâtre de l'Ouest,Platanthera praeclara,"Plante vasculaire, herbe",En voie de disparition,10/25/2006,11/1/2016,11/1/2016,"Maintenir la population à sa taille actuelle, à l’intérieur de ses limites de variabilité naturelle. Maintenir l’aire de répartition actuelle.",Le nombre d’individus florifères est subi aux fluctuations extrêmes. Un déclin peut être inféré d’après la perte graduelle de milieux propices. ,Un déclin dans la taille de la population n'est pas évident.,Montre des progrès
Méné d'argent de l'Ouest,Hybognathus argyritis,"Poisson, eau douce",Menacée,2/27/2008,11/1/2017,2/2/2022,"Protéger et maintenir une population autosuffisante de ménés d’argent de l’Ouest dans son aire de répartition actuelle dans la rivière Milk, au Canada.",Il semble que la population de ménés d’argent de l’Ouest de la rivière Milk n’a pas diminué depuis la publication du programme de rétablissement modifié en 2017. ,"Il n’y a aucun cas connu de déclin de la population ou de l’habitat dans la rivière Milk, et rien ne laisse croire que la population a diminué depuis la publication du programme de rétablissement modifié (MPO, 2017), ce qui suggère le maintien du méné d’argent de l’Ouest dans la rivière Milk. ",Montre des progrès
Truite fardée versant de l'ouest (Population de l'Alberta),Oncorhynchus clarkii lewisi,"Poisson, eau douce",Menacée,12/12/2019,11/1/2016,12/12/2022,Maintenir les populations existantes presque pures à des niveaux stables et rétablir des populations pures supplémentaires à des niveaux stables dans l'aire de répartition d’origine de l'espèce. ,Les sous-populations en Alberta sont en déclin par rapport aux niveaux historiques et elles ont disparues de grandes portions de bassins hydrographiques. Le nombre et la répartition des sous-populations pures ont diminué de façon continue en Alberta.,Les populations génétiquement pures sont en déclin.,Ne montre aucun progrès
Truite fardée versant de l'ouest (Population de la Colombie-Britannique),Oncorhynchus clarkii lewisi ,"Poisson, eau douce",Préoccupante,3/20/2017,11/1/2016,6/27/2023,"Persistance à long terme de la truite fardée versant de l'ouest dans son aire de répartition naturelle, grâce aux objectifs suivants 
1) maintenir la distribution indigène et la diversité génétique des populations
2) maintenir les populations sauvages à des niveaux d'abondance qui empêchent l'évaluation du statut d'espèce en danger
3) maintenir ou réhabiliter la capacité de l'habitat naturel à atteindre les objectifs d'abondance des populations.", Les effectifs étaient en moyenne d’environ 30 individus/km dans le cas des truites fardées versant de l’ouest d’une longueur supérieure à 30 cm observées pendant les relevés en plongée avec tuba dans certains systèmes de la rivière Kootenay. L’application de l’estimation de l’Alberta de 100 individus/sous-population aux systèmes de la Colombie-Britannique indique la présence d’au moins 92 800 truites fardées versant de l’ouest.,"Il est difficile d’établir une estimation des effectifs et des tendances au fil du temps pour l’ensemble de l’UD. Les études standardisées sur l'abondance de l'espèce suggèrent que la population est généralement stable, mais il existe des variations régionales.",Données insuffisantes pour déterminer les tendances
Héliotin blanc satiné,Schinia bimatris,Insecte,En voie de disparition,8/11/2011,11/1/2014,11/1/2014,"Sécuriser et maintenir la répartition actuelle de l'espèce dans le seul site connu au Canada, ainsi que dans tous les nouveaux sites qui pourraient être découverts.","Selon les projections effectuées au sujet de l'habitat de cette espèce, un déclin de la population est prévu au cours du prochain siècle.",On s'attend à un déclin de la population.,Ne montre aucun progrès
Esturgeon blanc (Population de la rivière Nechako),Acipenser transmontanus,"Poisson, eau douce",En voie de disparition,1/25/2023,,1/25/2023,"Objectif de rétablissement : garantir que chacune des populations est viable dans l'ensemble de son aire de répartition naturelle, qu'elle est autosuffisante grâce à la reproduction naturelle et qu'elle augmente ou rétablit les possibilités d'utilisation bénéfique, si et quand c'est faisable.
Objectifs en matière de population et de répartition : 
1) empêcher la disparition de l'esturgeon blanc dans chacune des quatre populations identifiées en empêchant la perte nette du potentiel de reproduction.
2) Lancer, dans un délai de 5 ans, des études pilotes visant à rétablir le recrutement naturel pour chaque population affectée par les barrages. Dans un délai de 10 ans, identifier des méthodes pour chaque population qui, si et quand elles sont mises en œuvre, ont une forte probabilité de restaurer le recrutement à un niveau suffisant pour atteindre les autres mesures de rétablissement énumérées dans le présent document. 
3) atteindre ou dépasser tous les objectifs de population et de répartition suivants pour la survie ou la reconstitution dans un délai de 50 ans : a) 1 000 individus matures avec un rapport des sexes à la maturité d'environ 1:1 ; b) répartition dans l'aire de répartition naturelle, à l'exception du réservoir Duncan, du lac Slocan, du cours inférieur de la rivière Kootenay entre les barrages Corra Linn et Brilliant, et du fleuve Columbia en amont du barrage de Revelstoke ; et c) recrutement naturel continu suffisant pour atteindre tous les autres objectifs. 
4) atteindre ou dépasser les objectifs en matière de population et de distribution pour les utilisations bénéfiques dans des délais précis. Au fur et à mesure que les objectifs de reconstitution biologique seront atteints, les objectifs et les délais relatifs aux utilisations bénéfiques seront fixés et ajustés. Ces objectifs peuvent varier d'une population à l'autre.
","L'abondance des adultes du PSN de la Nechako est estimée à 630 individus. L'objectif de recrutement naturel n'a pas été atteint; 125 juvéniles d'origine sauvage ont été capturés entre 2009 et 2019, ce qui suggère un certain degré de succès du frai naturel, mais pas suffisamment pour maintenir les niveaux de population (échec du recrutement). L'aquaculture de conservation et la restauration de l'habitat sont en cours.","Un suivi annuel des adultes, des juvéniles et du frai est effectué. L'abondance des adultes est estimée à 630 individus. 125 juvéniles d'origine sauvage ont été capturés entre 2009 et 2019, ce qui suggère un certain degré de succès du frai naturel, mais pas suffisamment pour soutenir les niveaux de population (échec du recrutement). L'aquaculture de conservation et la restauration de l'habitat sont en cours.

Le recrutement naturel n'a pas été rétabli et la population adulte est inférieure à l'objectif de reconstitution.",Ne montre aucun progrès
